datazone,retailer_count,total_population,simd_decile,simd_rank,simd_quintile,income_rank,health_rank,employment_rank,education_rank,access_rank,crime_rank,housing_rank,alcohol_admissions,drug_admissions,smoking_rate,urban_rural,retailers_adj,income_quintile,access_quintile,urban_rural_2cat
S01008158,12,650,8,5546,4,5776,4986,5373,4219,2149,6787,5493,51,24,0,Accessible Small Towns,18.461538461538463,Least deprived,Second,Urban
S01008159,32,929,1,625,1,546,655,307,2601,5170,960,2975,363,156,20,Accessible Small Towns,34.445640473627556,Most deprived,Fourth,Urban
S01008160,30,1027,3,2036,2,1610,1569,2145,2460,3993,3169,3118,117,33,6.67,Accessible Small Towns,29.211295034079846,Second,Third,Urban
S01008161,37,1039,8,5215,4,5171,5147,5425,5137,1483,3946,5124,57,28,13.04,Accessible Small Towns,35.611164581328204,Fourth,Second,Urban
S01008162,43,1064,6,4112,3,4273,3472,4338,3873,1506,4875,4196,70,27,9.68,Accessible Small Towns,40.41353383458647,Fourth,Second,Urban
S01008163,22,845,3,1459,2,1635,1750,1841,1011,1049,3321,2814,139,36,10.34,Accessible Rural,26.03550295857988,Second,Most deprived,Rural
S01008164,25,1692,6,3719,3,3897,4771,4706,1984,1843,2164,2731,110,19,33.33,Accessible Rural,14.775413711583925,Third,Second,Rural
S01008165,21,1182,9,5894,5,6196,6203,6569,4765,1211,4569,6238,30,0,2.82,Large Urban,17.766497461928935,Least deprived,Most deprived,Urban
S01008166,15,544,4,2549,2,2625.5,2962,4182,1241,1585,2232,2106,36,87,15.38,Large Urban,27.573529411764707,Second,Second,Urban
S01008167,19,700,2,1388,1,1074.5,2858,1489,854,3259,2584,1746,65,22,37.93,Large Urban,27.142857142857142,Most deprived,Third,Urban
S01008168,20,913,3,1613,2,1668,1904,1726,1359,2061,3050,1300,137,138,17.65,Large Urban,21.90580503833516,Second,Second,Urban
S01008169,16,781,4,2372,2,2604,3235,2530,1362,2302,3667,2423,20,40,15.38,Large Urban,20.486555697823302,Second,Second,Urban
S01008170,13,594,8,5497,4,5209,6184,5019,5246,1675,6750,6027,53,0,20,Large Urban,21.88552188552189,Fourth,Second,Urban
S01008171,15,746,3,1823,2,1887,2602,1439,2600,1596,2227,2196,102,219,41.18,Large Urban,20.10723860589812,Second,Second,Urban
S01008172,12,564,6,3585,3,3284,4855,3206,4613,1282,4619,3219,33,0,23.53,Large Urban,21.27659574468085,Third,Most deprived,Urban
S01008173,9,658,8,4995,4,4694,4359,5489,4711,1387,6241,5576.5,27,23,7.14,Large Urban,13.677811550151976,Fourth,Most deprived,Urban
S01008174,13,474,6,3673,3,4191,3585,3480,4265,1303,2905,3525.5,43,326,7.14,Large Urban,27.426160337552744,Fourth,Most deprived,Urban
S01008175,19,737,3,2037,2,2021,2735,2113,2209,1315,2761,1515,89,283,15.63,Large Urban,25.780189959294436,Second,Most deprived,Urban
S01008176,37,771,7,4333,4,4579,5032,3917,4788,2903,805,3729,56,102,16.67,Large Urban,47.98962386511025,Fourth,Third,Urban
S01008177,30,759,4,2471,2,2338,3321,2542,2838,1902,2676,1571,25,120,7.14,Large Urban,39.52569169960474,Second,Second,Urban
S01008178,12,601,7,4852,4,4608.5,5587,4580,3734,2059,6482,3394,45,0,14.29,Large Urban,19.966722129783697,Fourth,Second,Urban
S01008179,4,535,10,6460,5,6895,6177,6593,6491,1312,6027,5528,14,26,5.88,Large Urban,7.4766355140186915,Least deprived,Most deprived,Urban
S01008180,6,480,10,6471,5,6867,6287,6393.5,6302,1641,4989,6687,43,94,0,Large Urban,12.5,Least deprived,Second,Urban
S01008181,18,653,10,6470,5,6614.5,6572,6049.5,6238,2486,3828,6058,31,27,0,Large Urban,27.565084226646245,Least deprived,Second,Urban
S01008182,26,945,5,2817,3,2658,3528,2370,3944,4184,1854,373,69,240,17.65,Large Urban,27.513227513227513,Second,Third,Urban
